Year,Province,Procedure,pct_Meeting_Benchmark,50th_Percentile,90th_Percentile,Volume,Has_Benchmark,Wait_Range,Ontario_50th,Vs_Ontario_Gap
2008,Alberta,CABG,99.0,7.0,83.0,,True,76.0,,
2008,Alberta,CT Scan,,10.0,39.0,,False,29.0,,
2008,Alberta,Cataract Surgery,71.0,70.0,199.0,8662.0,True,129.0,,
2008,Alberta,Hip Replacement,77.0,103.0,255.0,,True,152.0,,
2008,Alberta,Knee Replacement,72.0,123.0,299.0,,True,176.0,,
2008,Alberta,MRI Scan,,41.0,136.0,40634.0,False,95.0,,
2008,British Columbia,CABG,91.0,43.0,109.0,,True,66.0,,
2008,British Columbia,Cataract Surgery,78.0,55.0,171.0,22035.0,True,116.0,,
2008,British Columbia,Hip Replacement,78.0,71.0,279.0,2192.0,True,208.0,,
2008,British Columbia,Knee Replacement,71.0,102.0,332.0,3130.0,True,230.0,,
2008,British Columbia,Radiation Therapy,95.0,7.0,,,True,,,
2008,Manitoba,CABG,96.0,17.0,119.0,428.0,True,102.0,,
2008,Manitoba,Cataract Surgery,77.0,75.0,151.0,4215.0,True,76.0,,
2008,Manitoba,Hip Replacement,64.0,139.0,362.0,646.0,True,223.0,,
2008,Manitoba,Knee Replacement,52.0,174.0,479.0,1052.0,True,305.0,,
2008,Manitoba,MRI Scan,,,,23392.0,False,,,
2008,Manitoba,Radiation Therapy,99.0,5.0,23.0,1507.0,True,18.0,,
2008,New Brunswick,CABG,95.0,3.0,131.0,214.0,True,128.0,,
2008,New Brunswick,Cataract Surgery,74.0,57.0,194.0,4460.0,True,137.0,,
2008,New Brunswick,Hip Replacement,66.0,140.0,309.0,300.0,True,169.0,,
2008,New Brunswick,Knee Replacement,55.0,167.0,408.0,538.0,True,241.0,,
2008,New Brunswick,Radiation Therapy,94.0,,,,True,,,
2008,Newfoundland and Labrador,CABG,95.0,,,210.0,True,,,
2008,Newfoundland and Labrador,CT Scan,,,,29890.0,False,,,
2008,Newfoundland and Labrador,Cataract Surgery,,,,2079.0,False,,,
2008,Newfoundland and Labrador,Hip Replacement,,,,164.0,False,,,
2008,Newfoundland and Labrador,Knee Replacement,,,,287.0,False,,,
2008,Newfoundland and Labrador,MRI Scan,,,,5512.0,False,,,
2008,Newfoundland and Labrador,Radiation Therapy,85.0,,,823.0,True,,,
2008,Nova Scotia,CABG,100.0,26.0,65.0,91.0,True,39.0,,
2008,Nova Scotia,Cataract Surgery,75.0,54.0,199.0,4686.0,True,145.0,,
2008,Nova Scotia,Hip Replacement,45.0,201.0,642.0,486.0,True,441.0,,
2008,Nova Scotia,Knee Replacement,46.0,213.0,647.0,660.0,True,434.0,,
2008,Nova Scotia,Radiation Therapy,,,,1367.0,False,,,
2008,Ontario,CABG,100.0,19.0,56.0,3468.0,True,37.0,,
2008,Ontario,CT Scan,,9.0,40.0,351878.0,False,31.0,,
2008,Ontario,Cataract Surgery,88.0,44.0,123.0,65616.0,True,79.0,,
2008,Ontario,Hip Replacement,90.0,63.0,180.0,5348.0,True,117.0,,
2008,Ontario,Knee Replacement,85.0,71.0,223.0,9922.0,True,152.0,,
2008,Ontario,MRI Scan,,30.0,95.0,203609.0,False,65.0,,
2008,Ontario,Radiation Therapy,90.0,11.0,29.0,13177.0,True,18.0,,
2008,Prince Edward Island,CT Scan,,22.0,88.0,3172.0,False,66.0,,
2008,Prince Edward Island,Cataract Surgery,60.0,78.0,180.0,477.0,True,102.0,,
2008,Prince Edward Island,Hip Replacement,71.0,110.0,356.0,59.0,True,246.0,,
2008,Prince Edward Island,Knee Replacement,75.0,108.0,345.0,105.0,True,237.0,,
2008,Prince Edward Island,MRI Scan,,79.0,199.0,1391.0,False,120.0,,
2008,Prince Edward Island,Radiation Therapy,100.0,7.0,19.0,198.0,True,12.0,,
2008,Quebec,Cataract Surgery,82.0,42.0,155.0,33263.0,True,113.0,,
2008,Quebec,Hip Replacement,90.0,69.0,182.0,1857.0,True,113.0,,
2008,Quebec,Knee Replacement,86.0,85.0,211.0,2605.0,True,126.0,,
2008,Quebec,Radiation Therapy,,,,8602.0,False,,,
2008,Saskatchewan,CABG,98.0,4.0,69.0,309.0,True,65.0,,
2008,Saskatchewan,Cataract Surgery,48.0,118.0,334.0,3423.0,True,216.0,,
2008,Saskatchewan,Hip Replacement,56.0,157.0,482.0,497.0,True,325.0,,
2008,Saskatchewan,Knee Replacement,37.0,246.0,613.0,818.0,True,367.0,,
2008,Saskatchewan,Radiation Therapy,81.0,14.0,36.0,781.0,True,22.0,,
2009,Alberta,CABG,93.0,17.0,156.0,665.0,True,139.0,,
2009,Alberta,CT Scan,,11.0,34.0,,False,23.0,,
2009,Alberta,Cataract Surgery,61.0,88.0,270.0,9148.0,True,182.0,,
2009,Alberta,Hip Fracture Repair,80.0,26.0,68.0,1188.0,True,42.0,,
2009,Alberta,Hip Replacement,81.0,93.0,250.0,1475.0,True,157.0,,
2009,Alberta,Knee Replacement,71.0,120.0,352.0,2233.0,True,232.0,,
2009,Alberta,MRI Scan,,57.0,189.0,41866.0,False,132.0,,
2009,Alberta,Radiation Therapy,74.0,14.0,38.0,3335.0,True,24.0,,
2009,British Columbia,Cataract Surgery,77.0,49.0,195.0,23054.0,True,146.0,,
2009,British Columbia,Hip Fracture Repair,83.0,23.0,64.0,1777.0,True,41.0,,
2009,British Columbia,Hip Replacement,85.0,73.0,223.0,2216.0,True,150.0,,
2009,British Columbia,Knee Replacement,77.0,85.0,275.0,3241.0,True,190.0,,
2009,British Columbia,Radiation Therapy,94.0,8.0,,,True,,,
2009,Canada,Hip Fracture Repair,79.0,25.0,72.0,9670.0,True,47.0,,
2009,Manitoba,CABG,100.0,13.0,107.0,407.0,True,94.0,,
2009,Manitoba,Cataract Surgery,80.0,82.0,161.0,4320.0,True,79.0,,
2009,Manitoba,Hip Fracture Repair,78.0,26.0,76.0,573.0,True,50.0,,
2009,Manitoba,Hip Replacement,63.0,124.0,335.0,564.0,True,211.0,,
2009,Manitoba,Knee Replacement,56.0,160.0,470.0,878.0,True,310.0,,
2009,Manitoba,MRI Scan,,,,25148.0,False,,,
2009,Manitoba,Radiation Therapy,100.0,6.0,25.0,1418.0,True,19.0,,
2009,New Brunswick,CABG,98.0,6.0,111.0,218.0,True,105.0,,
